"step","type","amount","nameOrig","oldbalanceOrg","newbalanceOrig","nameDest","oldbalanceDest","newbalanceDest"
1,"PAYMENT",8539.76,"C1164622694",182,0,"M44278425",0,0
1,"PAYMENT",1284.49,"C648358364",42110,40825.51,"M643587433",0,0
1,"PAYMENT",9479.66,"C1314228008",32987.88,23508.22,"M1590481849",0,0
1,"PAYMENT",2286.28,"C1145391264",115792,113505.72,"M929482343",0,0
4,"PAYMENT",4051.25,"C1576874484",31563,27511.75,"M910572297",0,0
5,"PAYMENT",836.64,"C1238061104",162104,161267.36,"M600296216",0,0
5,"PAYMENT",530.4,"C1153025988",225668.11,225137.71,"M108271693",0,0
7,"PAYMENT",2693.26,"C1882802109",0,0,"M254917009",0,0
7,"CASH_IN",31609.95,"C323928307",1622755.85,1654365.8,"C305646302",107998,3225.83
7,"TRANSFER",231564.18,"C6267871",149742,0,"C1991252420",20582,53924.65
7,"PAYMENT",8700.92,"C2020466851",61916,53215.08,"M1194181141",0,0
7,"PAYMENT",2570.57,"C380991651",13131.99,10561.42,"M971543945",0,0
7,"TRANSFER",604352.69,"C1870933697",33404,0,"C1347890180",567,85026.63
7,"PAYMENT",3332.86,"C1052497164",495218,491885.14,"M1110057571",0,0
7,"TRANSFER",2271227.47,"C1054204284",0,0,"C1515704208",10523029.85,15505523.11
7,"TRANSFER",528826.09,"C1598973752",1157231.83,628405.74,"C1163480574",1036080.56,1798734.57
7,"CASH_OUT",481547.02,"C267762692",0,0,"C861720625",623571.16,1752674.41
8,"CASH_IN",365692.36,"C50724425",221,365913.36,"C824009085",45819.53,120565.89
8,"CASH_OUT",181728.11,"C2102265902",0,0,"C789014007",11397,184477.77
8,"PAYMENT",16720.42,"C1589511575",0,0,"M1664129150",0,0
8,"PAYMENT",5719.29,"C606128380",0,0,"M996688653",0,0
8,"CASH_IN",573527.29,"C2061025853",20265,593792.29,"C262828207",104409,396394.63
8,"CASH_IN",47513.96,"C705789319",6901635.38,6949149.34,"C1414919255",61258.13,0
8,"TRANSFER",550485.22,"C1756545962",0,0,"C635281078",1383546.13,2265663.04
8,"PAYMENT",2384.46,"C2130176599",0,0,"M1227047535",0,0
8,"PAYMENT",2125.5,"C1974785133",728414.36,726288.85,"M598166398",0,0
8,"CASH_OUT",194037.46,"C1834649024",20373,0,"C1302931951",1002378.59,1740418.55
8,"CASH_IN",79358.44,"C141070200",7883463.12,7962821.56,"C966704622",1513178.11,1261174.02
8,"PAYMENT",9502.52,"C1508687862",1276796.48,1267293.97,"M1284176569",0,0
8,"CASH_OUT",420841.31,"C908997298",0,0,"C1529115495",818122.34,2956183.79
8,"PAYMENT",16592.36,"C905778758",14458.1,0,"M761599232",0,0
8,"PAYMENT",8402.67,"C741775658",16643,8240.33,"M739927846",0,0
8,"CASH_IN",314225.39,"C711773464",3430491.29,3744716.68,"C885951223",5515650.2,7882930.45
8,"PAYMENT",25203.15,"C257791053",0,0,"M3637991",0,0
8,"TRANSFER",211139.07,"C570058362",99625,0,"C54274682",0,280343.64
8,"CASH_IN",38826.17,"C1503723949",7398707.42,7437533.6,"C33574809",356253.91,153166.15
8,"CASH_OUT",80059.98,"C340144958",0,0,"C1869228744",2537852.02,2528711.98
8,"PAYMENT",34956.59,"C541706234",53765.5,18808.92,"M403128001",0,0
8,"CASH_IN",32065.35,"C2078416461",4048440.62,4080505.97,"C848064357",640802.39,608737.04
9,"PAYMENT",3307.27,"C303013608",6435,3127.73,"M1106469683",0,0
9,"TRANSFER",437352.96,"C1703586197",0,0,"C2120271841",4892,442244.96
9,"CASH_OUT",456487.25,"C1003482102",0,0,"C751413576",1223156.53,1679643.78
9,"PAYMENT",7753.08,"C1503428906",60596,52842.92,"M1513828125",0,0
9,"PAYMENT",4737.21,"C1949438933",0,0,"M1141093656",0,0
9,"TRANSFER",473096.52,"C993324676",1074,0,"C801899764",13453,434652.74
9,"PAYMENT",247.58,"C144738242",168,0,"M932448837",0,0
9,"CASH_IN",2134.61,"C1475238812",7355278.45,7357413.06,"C92317664",879060.79,876926.18
9,"PAYMENT",10535.26,"C376577608",108554.19,98018.93,"M1622458632",0,0
9,"TRANSFER",305004.67,"C1723756239",14225,0,"C1775951327",213015.06,0
9,"CASH_OUT",238556.08,"C94401249",13486,0,"C913607245",138650,73979.8
9,"PAYMENT",4167.78,"C1458795766",274452.44,270284.66,"M1887811418",0,0
9,"CASH_OUT",486835.38,"C232619440",107792,0,"C403254166",1507440.93,2580470.51
9,"CASH_OUT",143085.73,"C213539047",0,0,"C1727331144",2142180.71,3595381.3
